entity	entity_type	github_script	zenodo_file	note
Figure 1	figure	scripts/12_submission_figures_tables/figure1_main.py	12_figure_source_data/Figure_1_submission_SOURCE_DATA.tsv	Cross-species construction of the perturbation-defined microexon set
Figure 2	figure	scripts/12_submission_figures_tables/figure2_main.py	12_figure_source_data/Figure_2_submission_SOURCE_DATA.tsv	Autism cortical enrichment and CHyMErA directional comparison
Figure 3	figure	scripts/12_submission_figures_tables/figure3_main.py	12_figure_source_data/Figure_3_submission_SOURCE_DATA.tsv	Developmental timing and host-gene biological context
Figure 4	figure	scripts/12_submission_figures_tables/figure4_main.py	12_figure_source_data/Figure_4_submission_SOURCE_DATA.tsv	Cross-cohort PsychENCODE support for the perturbation-defined event set
Figure 5	figure	scripts/12_submission_figures_tables/figure5_main.py	12_figure_source_data/Figure_5_submission_SOURCE_DATA.tsv	Integrated prioritization and local protein context of Tier A microexons
Figure S1	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S1_submission_SOURCE_DATA.tsv	Data-source availability and coordinate cross-checks for the 19-event analysis set
Figure S2	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S2_submission_SOURCE_DATA.tsv	Background universes, permutation nulls and matching diagnostics
Figure S3	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S3_submission_SOURCE_DATA.tsv	Definition, selection and prior-exclusion sensitivity analyses
Figure S4	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S4_submission_SOURCE_DATA.tsv	Developmental timing analyses for all 19 events
Figure S5	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S5_submission_SOURCE_DATA.tsv	RBP motif permutation landscape across all 240 tests
Figure S6	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S6_submission_SOURCE_DATA.tsv	GSE30573 cross-cohort mapping and local-structure matching
Figure S7	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S7_submission_SOURCE_DATA.tsv	Transcript membership and representative transcript structures
Figure S8	figure	scripts/12_submission_figures_tables/supplementary_figures_s1_s8.py	12_figure_source_data/Figure_S8_submission_SOURCE_DATA.tsv	PsychENCODE diagnostics and set-level robustness
Figure S9	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S9_submission_SOURCE_DATA.tsv	Technical-covariate and regional stability of PsychENCODE effects
Figure S10	figure	scripts/12_submission_figures_tables/supplementary_figures_s9_s16.py	12_figure_source_data/Figure_S10_submission_SOURCE_DATA.tsv	Transcript-set definition sensitivity (D0-D3)
