# analysis_dictionary.tsv
#
# One row per analysis family in scripts/. "script" lists the family's
# scripts; manuscript_location and figure_or_table give the primary
# manuscript destination of that family's outputs (see
# docs/FILE_CROSSWALK.md for the full figure/table provenance).

analysis_id	purpose	input	script	output	manuscript_location	figure_or_table
01_candidate_mapping	CHyMErA perturbation-defined event filtering; mouse-human event mapping; VastDB identifier handling; coordinate conversion with reciprocal liftOver verification; GENCODE v33 local-structure checking; construction of the final 19-event set	CHyMErA junction PSI tables; VastDB orthology and PSI tables; hg19/hg38 reference annotations; UCSC chain files; GENCODE v33 GTF	01_candidate_mapping/core_mapping.py; 01_candidate_mapping/coordinate_matching.py; 01_candidate_mapping/coordinate_inference.R; 01_candidate_mapping/transcript_membership.R; 01_candidate_mapping/master_event_table.py	Master event table (19 events with cross-species mapping, coordinates and local-structure status); mapping and coordinate QC files	Main text Results; Figure 1; Methods	Figure 1; Supplementary Figure S1; Table S1
02_set_level_enrichment	Autism set-level enrichment of the 19 microexon events: background construction (wide/microexon/conserved/CEM/NN), 10,000-permutation enrichment, bootstrap CIs, BH and Bonferroni multiplicity correction, one-event-per-gene and length-threshold sensitivities, random same-size set comparison, matched-background sensitivity	Parikshak delta-PSI values; event definitions from 01_candidate_mapping; background sets	02_set_level_enrichment/backgrounds_and_enrichment.py; 02_set_level_enrichment/event_reconciliation.py; 02_set_level_enrichment/multiplicity_correction.py; 02_set_level_enrichment/sensitivity_and_negative_controls.py	Set-level enrichment results, effects by background, multiplicity-corrected values, sensitivity and negative-control tables	Main text Results; Figure 2; Methods	Figure 2; Supplementary Figure S2; Table S2
03_directional_concordance	CHyMErA directional concordance: |delta-PSI| > 0.01 eligibility rule; 12/14 primary directional concordance; 16/19 all-event sensitivity; one-to-one perturbation mapping; guide-sharing and multi-exon mapping checks	CHyMErA exon-perturbation results; event definitions from 01_candidate_mapping	03_directional_concordance/chymera_directional_analysis.py; 03_directional_concordance/chymera_direction_verification.py; 03_directional_concordance/directional_eligibility_rule.py	Directional concordance tables and eligibility classification	Main text Results; Methods	Supplementary Figure S5; Table S2
04_brainspan_development	Developmental timing analysis of the 19 events in BrainSpan: developmental PSI extraction, prenatal-low/postnatal-high and prenatal-high/postnatal-low and non-dynamic classification, dynamicity tests, background sensitivities, monotonicity/PSI range, developmental range versus ASD effect correlation	BrainSpan developmental PSI; event definitions from 01_candidate_mapping; VastDB group tables	04_brainspan_development/developmental_timing_analysis.py; 04_brainspan_development/developmental_reports.py	Developmental dynamicity classification, key statistics, per-event trajectory tables	Main text Results; Figure 3; Methods	Figure 3; Supplementary Figure S4; Table S3
05_network_and_rbp_context	Context analyses: STRING/GO/Reactome host-gene network context, RBP motif analysis (240-test corrected battery), GSE30573 limited cross-cohort directional context (not an independent validation)	STRING/GO/Reactome resources; RBP motif databases; GSE30573 small-n dataset; event definitions from 01_candidate_mapping	05_network_and_rbp_context/mechanistic_context_analysis.py; 05_network_and_rbp_context/context_reports.py; 05_network_and_rbp_context/gse30573_limited_context.py	Network metrics, RBP motif convergence results, GSE30573 mapped-event context tables	Main text Results; Methods	Supplementary Figures S5-S6; Table S2
06_psychencode_models	PsychENCODE event-level mixed-model analysis: donor de-duplication with exact subject-ID overlap filtering; M0-M4 model construction; Kenward-Roger inference; LRT sensitivity; BH correction; one-event-per-gene concordance; diagnosis-by-region omnibus; Tier A diagnosis-by-sex and diagnosis-by-age sensitivity	PsychENCODE processed gene TPM and sample metadata; event definitions and transcript sets from upstream families	06_psychencode_models/donor_deduplication.R; 06_psychencode_models/mixed_model_analysis.R; 06_psychencode_models/model_reproduction.R; 06_psychencode_models/region_interaction_omnibus.R; 06_psychencode_models/tierA_moderator_sensitivity.R	Model fits, Kenward-Roger P and BH FDR values, concordance tables, omnibus and moderator sensitivity results	Main text Results; Figure 4; Methods	Figure 4; Supplementary Figure S8; Table S2
07_transcript_definition_sensitivity	Transcript-set definition sensitivity: D0-D3 construction, deterministic D2 representative transcript pair selection, transcript support diagnostics, transcript-definition sensitivity of event-level results	GENCODE v33 transcripts; PsychENCODE transcript-level data; event definitions from 01_candidate_mapping	07_transcript_definition_sensitivity/d2_transcript_selection.R; 07_transcript_definition_sensitivity/psychencode_sensitivity.R	Deterministic D2 pair table, transcript-definition sensitivity results	Main text Results; Methods	Supplementary Figure S10; Tables S3, S10
08_lodo	Donor robustness: leave-one-donor-out (LODO) for M0 and M4; M4C (composition-adjusted) LODO; Tier A influence metrics (retention, DFBETA)	PsychENCODE model inputs from 06_psychencode_models; composition PCs from 09_cell_composition	08_lodo/lodo.R; 08_lodo/m4c_lodo.R	LODO summaries, Tier A influence tables, M4C LODO results	Main text Results; Methods	Supplementary Figure S11; Table S4, Table S6 (M4C)
09_cell_composition	Cell-composition deconvolution of 532 PsychENCODE cortical samples: reference-based NNLS against the local brainSCOPE adult human brain reference (24-to-7 class aggregation), composition principal components, neuron-merged sensitivity	Local brainSCOPE reference; PsychENCODE gene-level TPM; marker genes	09_cell_composition/gene_tpm.R; 09_cell_composition/marker_pc.R; 09_cell_composition/deconvolution_nnls.py; 09_cell_composition/neuron_merged_sensitivity.R	Composition fractions, PC scores, deconvolution QC, neuron-merged sensitivity results	Main text Results; Methods; Supplementary Material	Supplementary Figure S12; Tables S5, S9
10_probability_scale	Tier A model-adjusted transcript-usage effects on the probability scale (marginal standardized fixed-effect predictions with parametric bootstrap CIs)	M0/M4/M4C model fits from 06 and 08 families; Tier A event set	10_probability_scale/adjusted_usage_probability_scale.R	Probability-scale effect estimates and CIs for the four Tier A events	Main text Results; Methods	Supplementary Figure S13; Table S7
11_protein_context	Tier A microexon coding consequences and protein context: in-frame insertion determination, UniProt feature mapping, AlphaFold pLDDT context at the insertion sites	GENCODE v33 transcripts; UniProt; AlphaFold structure models; Tier A event set	11_protein_context/protein_source_retrieval.py; 11_protein_context/protein_context_mapping.py	Coding-consequence table, UniProt-InterPro map, AlphaFold context table	Main text Results; Methods	Supplementary Figure S15; Table S8
12_submission_figures_tables	Assembly of the final publication figures and supplementary tables: main figures 1-5, supplementary figures S1-S16, supplementary tables S1-S12 (submission-clean versions with reader-facing vocabulary)	Outputs of families 01-11; legend facts	12_submission_figures_tables/figcommon.py; figcommon_main.py; figure1_main.py; figure2_main.py; figure3_main.py; figure4_main.py; figure5_main.py; supplementary_figures_s1_s8.py; supplementary_figures_s9_s16.py; supplementary_legends.py; supplementary_page_compose.py; prepare_supplementary_tables.py; supplementary_common.py; finalize_table_s1.py	Figures 1-5; Supplementary Figures S1-S16; Supplementary Tables S1-S12; combined PDFs and workbook	All manuscript figures and supplementary tables	Figures 1-5; Supplementary Figures S1-S16; Supplementary Tables S1-S12
